ticketNumber,dateOfApprehension,timeOfApprehension,nameOfDriver,Gender,Age,Classification of Vehicle,placeOfViolation,violationType,violationDes,fineStatus,apprehendingOfficer
TN00001,25/08/2024,22:08:57,Anne Lopez,Female,25,PUV,San Miguel,Reckless Driving,Reckless Driving,Unpaid,Mark Davis
TN00002,17/10/2024,13:20:27,John Lopez,Male,25,PUV,Dalipuga,Illegal Parking,Illegal Parking,Unpaid,Chris Lopez
TN00003,23/05/2024,3:32:47,Luke Brown,Female,35,TRI,Poblacion,No Seatbelt,No Seatbelt,Pending,Sophia Lopez
TN00004,31/01/2024,6:03:50,Anne Smith,Male,52,PUJ,Buru-un,Using Mobile Phone,Using Mobile Phone,Pending,Anne Clark
TN00005,19/08/2024,12:56:38,Chris Clark,Female,74,TRI,San Miguel,Using Mobile Phone,Using Mobile Phone,Unpaid,Luke Davis
TN00006,01/08/2024,2:15:19,Sophia Smith,Male,66,Gov't Vehicle,Dalipuga,Running a Red Light,Running a Red Light,Paid,Alex Davis
TN00007,03/04/2024,2:44:22,Anne Clark,Female,54,PUV,Tambacan,Reckless Driving,Reckless Driving,Paid,Luke Lopez
TN00008,27/12/2024,3:19:37,Chris Johnson,Male,21,TRI,Tambacan,No Seatbelt,No Seatbelt,Unpaid,Maria Martinez
TN00009,13/03/2024,21:30:55,Maria Johnson,Male,58,Gov't Vehicle,Dalipuga,Using Mobile Phone,Using Mobile Phone,Pending,Alex Clark
TN00010,24/07/2024,16:30:16,Chris Johnson,Male,72,MC,Tibanga,Reckless Driving,Reckless Driving,Pending,Anne Davis
TN00011,20/07/2024,2:56:20,Maria Davis,Male,32,PUJ,Poblacion,Speeding,Speeding,Unpaid,Maria Martinez
TN00012,04/05/2024,19:55:59,Chris Davis,Female,54,Private,Buru-un,Using Mobile Phone,Using Mobile Phone,Unpaid,Chris Lopez
TN00013,01/09/2024,20:48:56,Sophia Williams,Female,58,PUB,San Miguel,No Seatbelt,No Seatbelt,Unpaid,Luke Johnson
TN00014,19/03/2024,23:06:52,Jane Brown,Female,36,MC,Dalipuga,Running a Red Light,Running a Red Light,Pending,Emma Williams
TN00015,13/05/2024,15:53:20,Maria Smith,Male,72,Gov't Vehicle,Tambacan,No Seatbelt,No Seatbelt,Pending,Maria Garcia
TN00016,12/01/2024,6:01:48,Emma Jones,Female,56,Private,Hinaplanon,Running a Red Light,Running a Red Light,Unpaid,Emma Lopez
TN00017,04/05/2024,7:49:53,Anne Williams,Male,23,MC,Hinaplanon,Using Mobile Phone,Using Mobile Phone,Paid,Maria Lopez
TN00018,18/01/2024,4:08:33,Maria Clark,Male,59,PUJ,Pala-o,Running a Red Light,Running a Red Light,Unpaid,Emma Clark
TN00019,12/05/2024,20:37:18,Chris Jones,Male,29,MC,Poblacion,No Seatbelt,No Seatbelt,Paid,Sophia Williams
TN00020,17/07/2024,13:09:57,Sophia Clark,Female,51,Private,Buru-un,Running a Red Light,Running a Red Light,Pending,Maria Johnson
TN00021,20/10/2024,5:51:33,Alex Garcia,Female,68,PUJ,Buru-un,Illegal Parking,Illegal Parking,Unpaid,Mark Williams
TN00022,07/05/2024,7:04:40,Mark Davis,Male,38,PUV,Pala-o,Running a Red Light,Running a Red Light,Paid,Luke Johnson
TN00023,21/04/2024,6:43:39,John Williams,Male,71,PUV,Hinaplanon,Using Mobile Phone,Using Mobile Phone,Unpaid,Mark Clark
TN00024,10/02/2024,16:56:10,Jane Brown,Male,58,TRI,Tibanga,No Seatbelt,No Seatbelt,Unpaid,Emma Johnson
TN00025,14/11/2024,15:01:23,John Lopez,Female,24,MC,Tibanga,Using Mobile Phone,Using Mobile Phone,Pending,Jane Garcia
TN00026,09/01/2024,23:49:23,Chris Garcia,Female,59,TRI,Poblacion,Running a Red Light,Running a Red Light,Paid,John Martinez
TN00027,18/05/2024,7:00:59,Maria Martinez,Male,67,PUB,Tambacan,No Seatbelt,No Seatbelt,Unpaid,Maria Clark
